Planet_Name,Orbital_Period_Days,Semi_Major_Axis_AU,Planet_Mass_Jup,Mpsini_Jup,Planet_Mass_Earth,Mpsini_Earth,Planet_Radius_Earth,Discovery_Method,Planet_Ref
K2-32 b,8.992 ± 0.0001,0.0795 +0.0007 -0.0006,0.0472 +0.0057 -0.0053,--,15.0 +1.8 -1.7,--,5.299 ± 0.191,Transit,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>
CoRoT-7 c,3.698 ± 0.003,0.046,0.0264 ± 0.0028,--,8.4 ± 0.9,--,2.83,Radial Velocity,<a refstr=QUELOZ_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...506..303Q/abstract target=ref> Queloz et al. 2009 </a>
CoRoT-7 d,8.966 ± 1.546,--,0.0539 ± 0.008,--,17.142 ± 2.552,--,4.31,Radial Velocity,<a refstr=JOHN_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.515.3975J/abstract target=ref>John et al. 2022</a>
CoRoT-7 b,0.8536 ± 0.0,0.017 +0.0002 -0.0,0.0128 ± 0.0032,--,4.0766 ± 1.0198,--,1.6813 ± 0.1121,Transit,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
TOI-1117 b,2.2282 ± 0.0,0.033 ± 0.0002,0.028 ± 0.003,--,8.9 +0.95 -0.96,--,2.46 +0.13 -0.12,Transit,<a refstr=LOCKLEY_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025MNRAS.541..919L/abstract target=ref>Lockley et al. 2025</a>
TOI-1117 d,8.665 ± 0.011,0.0817 ± 0.0006,0.0337 ± 0.005,0.0337 ± 0.005,10.71 +1.59 -1.58,10.71 +1.59 -1.58,3.27,Radial Velocity,<a refstr=LOCKLEY_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025MNRAS.541..919L/abstract target=ref>Lockley et al. 2025</a>
TOI-1117 c,4.579 ± 0.004,0.0534 ± 0.0003,0.0276 +0.0037 -0.0038,0.0276 +0.0037 -0.0038,8.78 +1.19 -1.21,8.78 +1.19 -1.21,2.91,Radial Velocity,<a refstr=LOCKLEY_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025MNRAS.541..919L/abstract target=ref>Lockley et al. 2025</a>
K2-37 d,14.0923 ± 0.0006,0.1102 ± 0.0016,0.0393 +0.0195 -0.0192,--,12.5 +6.2 -6.1,--,2.31 +0.21 -0.07,Transit,<a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>
K2-37 b,4.4434 ± 0.0003,0.051 ± 0.0008,0.0079,--,2.51,--,1.39 +0.1 -0.05,Transit,<a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>
K2-37 c,6.4297 ± 0.0002,0.0653 ± 0.001,0.0201,--,6.39,--,2.41 +0.15 -0.06,Transit,<a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>
K2-138 b,2.3531 ± 0.0002,0.0338 +0.0002 -0.0003,0.0098 ± 0.0033,--,3.1 ± 1.05,--,1.51 +0.11 -0.084,Transit,<a refstr=LOPEZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A..90L/abstract target=ref>Lopez et al. 2019</a>
K2-138 c,3.56 ± 0.0001,0.0446 +0.0003 -0.0004,0.0199 +0.0036 -0.0039,--,6.31 +1.13 -1.23,--,2.299 +0.12 -0.087,Transit,<a refstr=LOPEZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A..90L/abstract target=ref>Lopez et al. 2019</a>
K2-138 d,5.4048 ± 0.0002,0.0589 +0.0004 -0.0005,0.0249 +0.0044 -0.0042,--,7.92 +1.39 -1.35,--,2.39 +0.104 -0.084,Transit,<a refstr=LOPEZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A..90L/abstract target=ref>Lopez et al. 2019</a>
K2-138 e,8.2615 ± 0.0002,0.0782 +0.0005 -0.0007,0.0408 +0.0062 -0.0063,--,12.97 +1.98 -1.99,--,3.39 +0.156 -0.11,Transit,<a refstr=LOPEZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A..90L/abstract target=ref>Lopez et al. 2019</a>
