           Estrella  Planetas_en_Sistema  Distancia(pc) Tipo_Espectral      Temp_K  Radio_Sol  Masa_Sol                                                                                                                                                   Ref_Estrella
            HD 5319                    2      121.40500             G5 4871.000000   4.060000  1.270000                                 <a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>
           HD 63433                    3       22.40350           G5 V 5688.000000   0.912000  0.990000                      <a refstr=CAPISTRANT_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167...54C/abstract target=ref>Capistrant et al. 2024</a>
           HD 65216                    2       35.12050           G5 V 5612.000000   0.880000  0.874000                     <a refstr=WITTENMYER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.5859W/abstract target=ref>Wittenmyer et al. 2019</a>
           HD 66428                    2       53.28170    G8 IV (+ G) 5716.000000   1.130000  1.010000                           <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
           HD 68988                    2       60.84470           G2 V 5932.000000   1.190000  1.280000                           <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
           HD 72659                    2       51.89490           G2 V 5929.000000   1.360000  1.033000                         <a refstr=RUGGIERI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025MNRAS.542.1233R/abstract target=ref>Ruggieri et al. 2025</a>
           HD 73526                    2       97.23960           G6 V 5601.000000   1.530000  1.014000                           <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
           HD 74156                    2       57.60300             G0 6068.000000   1.510576  1.100000                                 <a refstr=XIAO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023RAA....23e5022X/abstract target=ref>Xiao et al. 2023</a>
           HD 74698                    2       52.06480           G5 V 5783.000000   1.333000  1.039000                            <a refstr=FRENSCH_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.173F/abstract target=ref>Frensch et al. 2023</a>
           HD 75784                    2       85.43210             G5 4867.000000   3.400000  1.260000                                 <a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>
           HD 80653                    2      109.86000             G2 5959.000000   1.220000  1.180000                              <a refstr=BONOMO_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...677A..33B/abstract target=ref>Bonomo et al. 2023</a>
           HD 82943                    2       27.59020          G2/3V 5935.000000   1.182600  1.080000                                         <a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
           HD 86226                    2       45.68300           G1 V 5863.000000   1.053000  1.019000                               <a refstr=TESKE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160...96T/abstract target=ref>Teske et al. 2020</a>
           HD 92788                    2       34.65380           G6 V 5744.000000   1.140000  1.150000                           <a refstr=RICKMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..71R/abstract target=ref>Rickman et al. 2019</a>
           HD 93385                    3       43.34750        G2/G3 V 5977.000000   1.184840  1.040000                               <a refstr=UNGER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A.104U/abstract target=ref>Unger et al. 2021</a>
         HD 93963 A                    2       82.34320           G0 V 5908.000000   1.031100  1.084400                     <a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>
            HD 9446                    2       50.35030           G5 V 5793.000000   1.000000  1.000000                         <a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...513A..69H/abstract target=ref> Hebrard et al. 2010 </a>
           HD 95089                    2      136.95700       G8/K0 IV 4918.000000   5.080000  1.540000                                 <a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>
           HD 96700                    3       25.41110           G0 V 5845.000000   1.160000  0.890000                               <a refstr=UNGER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A.104U/abstract target=ref>Unger et al. 2021</a>
          HIP 14810                    3       50.48000             G5 5544.000000   1.070000  1.010000                                 <a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>
          HIP 67522                    2      127.28000           G1 V 5675.000000   1.380000  1.220000                             <a refstr=BARBER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...973L..30B/abstract target=ref>Barber et al. 2024</a>
             K2-111                    2      200.39400             G2 5775.000000   1.250000  0.840000                           <a refstr=MORTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5004M/abstract target=ref>Mortier et al. 2020</a>
             K2-138                    6      202.58500           G8 V 5356.300000   0.863000  0.935000                               <a refstr=LOPEZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A..90L/abstract target=ref>Lopez et al. 2019</a>
             K2-157                    3      298.37300           G9 V 5334.000000   0.860000  0.890000     <a refstr=CASTRO_GONZALEZ_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...699A.344C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2025</a>
