      Estrella  Planetas_en_Sistema  Distancia(pc) Tipo_Espectral      Temp_K  Radio_Sol  Masa_Sol                                                                                                                                                        Ref_Estrella
     Kepler-62                    5      300.87400           K2 V 4925.000000   0.640000  0.690000                              <a refstr=BORUCKI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Sci...340..587B/abstract target=ref> Borucki et al. 2013 </a>
     Kepler-80                    6      369.45100             K5 4540.000000   0.678000  0.830000            <a refstr=SHALLUE__AMP__VANDERBURG_2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...94S/abstract target=ref>Shallue &amp; Vanderburg 2018</a>
        PDS 70                    2      113.06400             K7 4109.000000   1.260000  0.982000                                       <a refstr=WANG_ET_AL_2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..148W/abstract target=ref>Wang et al. 2021</a>
      TOI-1130                    2       58.26090          K6-K7 4360.000000   0.697000  0.745000                                 <a refstr=BORSATO_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...689A..52B/abstract target=ref>Borsato et al. 2024</a>
      TOI-1238                    2       70.71450          K7/M0 4089.000000   0.580000  0.590000 <a refstr=GONZALEZ_ALVAREZ_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...658A.138G/abstract target=ref>Gonz&aacute;lez-&Aacute;lvarez et al. 2022</a>
      TOI-1246                    4      169.42200            K V 5213.000000   0.864900  0.888900                          <a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>
       TOI-125                    3      111.05900           K0 V 5320.000000   0.848000  0.859000                                <a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>
      TOI-1260                    3       73.59770           K6 V 4227.000000   0.672000  0.679000                                         <a refstr=LAM_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.1437L/abstract target=ref>Lam et al. 2023</a>
      TOI-1438                    2      110.51300           K0 V 5230.000000   0.820000  0.876000                                 <a refstr=PERSSON_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...702A..69P/abstract target=ref>Persson et al. 2025</a>
       TOI-178                    6       62.69900              K 4316.000000   0.662000  0.647000                                    <a refstr=LELEU_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...688A.211L/abstract target=ref>Leleu et al. 2024</a>
      TOI-2076                    4       41.90910            K V 5187.000000   0.758000  0.849000                                  <a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>
      TOI-2093                    2       82.79820           K5 V 4426.000000   0.729000  0.745000                       <a refstr=SANZ_FORCADA_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...703A..93S/abstract target=ref>Sanz-Forcada et al. 2025</a>
      TOI-2134                    2       22.62020           K5 V 4580.000000   0.709000  0.744000                               <a refstr=RESCIGNO_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.5385R/abstract target=ref>Rescigno et al. 2024</a>
      TOI-2202                    2      235.93300           K8 V 5169.000000   0.808000  0.841000                                      <a refstr=RICE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..266R/abstract target=ref>Rice et al. 2023</a>
      TOI-2322                    2       59.86100             K4 4664.000000   0.662000  0.703000                                   <a refstr=HOBSON_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...702A..32H/abstract target=ref>Hobson et al. 2025</a>
      TOI-2345                    2       81.65410              K 4687.000000   0.729000  0.727000                                   <a refstr=ESCHEN_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025MNRAS.544.2614E/abstract target=ref>Eschen et al. 2025</a>
       TOI-238                    2       80.54070           K2 V 5059.000000   0.756000  0.781000                                    <a refstr=EGGER_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...696A..28E/abstract target=ref>Egger et al. 2025</a>
      TOI-2525                    2      395.39800           K8 V 5096.000000   0.785000  0.849000                               <a refstr=TRIFONOV_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..179T/abstract target=ref>Trifonov et al. 2023</a>
       TOI-286                    2       59.22930           K3 V 5152.000000   0.780000  0.832000                                   <a refstr=HOBSON_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...688A.216H/abstract target=ref>Hobson et al. 2024</a>
      TOI-4010                    4      177.50400            K V 4960.000000   0.830000  0.880000                              <a refstr=KUNIMOTO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166....7K/abstract target=ref>Kunimoto et al. 2023</a>
      TOI-4311                    2      134.98800              K 5063.000000   0.844100  0.816000                                   <a refstr=ESCHEN_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260512324E/abstract target=ref>Eschen et al. 2026</a>
