Planeta,Zonas Estables,Zonas Inestables,Zonas Colisión m2,Área Estable (km²),Área Inestable (km²),Área Colisión m2 (km²)
Kepler-42 b,101,9881,18,4870000000.0,476000000000.0,867000000.0
Kepler-42 c,806,9193,1,10400000000.0,119000000000.0,12900000.0
Kepler-42 d,84,9890,26,7130000000.0,840000000000.0,2210000000.0
Kepler-445 b,173,9812,15,29200000000.0,1650000000000.0,2530000000.0
Kepler-445 c,249,9736,15,80800000000.0,3160000000000.0,4870000000.0
Kepler-445 d,137,9846,17,94500000000.0,6790000000000.0,11700000000.0
Kepler-446 b,146,9837,17,17300000000.0,1170000000000.0,2020000000.0
Kepler-446 c,104,9875,21,29800000000.0,2830000000000.0,6020000000.0
Kepler-446 d,134,9852,14,77900000000.0,5730000000000.0,8140000000.0
Kepler-49 b,165,9822,13,208000000000.0,12400000000000.0,16400000000.0
Kepler-49 c,149,9829,22,326000000000.0,21500000000000.0,48200000000.0
Kepler-49 d,759,9238,3,261000000000.0,3180000000000.0,1030000000.0
Kepler-49 e,77,9903,20,371000000000.0,47700000000000.0,96400000000.0
Kepler-52 b,612,9386,2,889000000000.0,13600000000000.0,2910000000.0
Kepler-52 c,359,9633,8,1380000000000.0,37200000000000.0,30900000000.0
Kepler-52 d,505,9488,7,5990000000000.0,113000000000000.0,83000000000.0
Kepler-54 b,78,9897,25,107000000000.0,13600000000000.0,34300000000.0
Kepler-54 c,76,9903,21,178000000000.0,23200000000000.0,49200000000.0
Kepler-54 d,198,9790,12,1130000000000.0,55700000000000.0,68200000000.0
Kepler-81 b,209,9786,5,204000000000.0,9550000000000.0,4880000000.0
Kepler-81 c,108,9873,19,269000000000.0,24600000000000.0,47400000000.0
Kepler-81 d,87,9891,22,510000000000.0,58000000000000.0,129000000000.0
Kepler-83 b,95,9886,19,181000000000.0,18800000000000.0,36200000000.0
Kepler-83 c,87,9893,20,433000000000.0,49300000000000.0,99700000000.0
Kepler-83 d,103,9874,23,95900000000.0,9200000000000.0,21400000000.0
Kepler-94 b,148,9834,18,60400000000.0,4020000000000.0,7350000000.0
Kepler-94 c,868,9121,11,793000000000000.0,8330000000000000.0,10000000000000.0
L 98-59 b,77,9903,20,13700000000.0,1760000000000.0,3560000000.0
L 98-59 c,108,9874,18,36900000000.0,3380000000000.0,6150000000.0
L 98-59 d,101,9880,19,88300000000.0,8630000000000.0,16600000000.0
L 98-59 e,124,9864,12,225000000000.0,17900000000000.0,21800000000.0
L 98-59 f,124,9860,16,491000000000.0,39100000000000.0,63400000000.0
LHS 1140 b,226,9762,12,724000000000.0,31300000000000.0,38500000000.0
LHS 1140 c,128,9858,14,33400000000.0,2570000000000.0,3650000000.0
LHS 1678 b,72,9906,22,3960000000.0,545000000000.0,1210000000.0
LHS 1678 c,91,9891,18,34800000000.0,3790000000000.0,6890000000.0
LHS 1678 d,83,9897,20,47600000000.0,5670000000000.0,11500000000.0
LHS 1903 b,102,9874,24,25800000000.0,2490000000000.0,6060000000.0
LHS 1903 c,116,9868,16,121000000000.0,10300000000000.0,16600000000.0
LHS 1903 d,136,9848,16,361000000000.0,26100000000000.0,42400000000.0
LHS 1903 e,133,9853,14,1090000000000.0,80800000000000.0,115000000000.0
LP 791-18 b,149,9831,20,5100000000.0,337000000000.0,685000000.0
LP 791-18 c,292,9700,8,91700000000.0,3050000000000.0,2510000000.0
LP 791-18 d,106,9873,21,15100000000.0,1400000000000.0,2980000000.0
LP 890-9 b,426,9567,7,53600000000.0,1200000000000.0,881000000.0
LP 890-9 c,591,9404,5,336000000000.0,5340000000000.0,2840000000.0
LTT 1445 A b,132,9852,16,68600000000.0,5120000000000.0,8320000000.0
LTT 1445 A c,102,9876,22,25900000000.0,2500000000000.0,5580000000.0
LTT 3780 b,105,9874,21,5370000000.0,505000000000.0,1070000000.0
LTT 3780 c,186,9800,14,382000000000.0,20100000000000.0,28700000000.0
Proxima Cen b,118,9867,15,99300000000.0,8300000000000.0,12600000000.0
Proxima Cen d,79,9900,21,23500000000.0,2940000000000.0,6240000000.0
TOI-1238 b,104,9874,22,7200000000.0,683000000000.0,1520000000.0
TOI-1238 c,150,9832,18,73500000000.0,4820000000000.0,8820000000.0
TOI-1266 b,126,9858,16,240000000000.0,18800000000000.0,30500000000.0
TOI-1266 c,110,9874,16,434000000000.0,39000000000000.0,63200000000.0
TOI-1266 d,116,9869,15,951000000000.0,80900000000000.0,123000000000.0
TOI-1468 b,118,9867,15,18800000000.0,1570000000000.0,2380000000.0
TOI-1468 c,137,9846,17,364000000000.0,26100000000000.0,45100000000.0
